NAME,SYMBOL,LAST,CHANGE,%CHANGE,YTD %CHG,52WK%CHG,YIELD,PE,50 D MA,200 D MA,ANNUAL H,ANNUAL L,VLM,VLM CROSSES 50 D AVG VLM (H or L),
Activision,ATVI,57.75,0.18,0.31,59.956,45.294,0.519,43.76,56.65,46.2,61.58,35.12,2.56M,-4359032,
AvalonBay Communities,AVB,192.57,0.56,0.29,8.704,6.442,2.95,25.64,192.32,179.57,199.52,158.32,184K,-542794.81,
American Express,AXP,84.13,0.5,0.6,13.566,37.64,1.521,15.24,79.5,74.7,85.39,58.25,1.48M,-2072704.5,
Allianz,AZSEY,19.73,-0.095,-0.48,19.721,37.674,3.096,,19.235,17.249,20.02,13.11,108K,-156425.63,
Boeing,BA,198.41,0.95,0.48,27.447,52.044,2.863,24.31,187.98,164.9,204.39,123.96,875K,-2136300.25,
Alibaba Group,BABA,141.38,0.57,0.4,61.007,77.053,0,57.41,126.42,106.93,148.29,77.68,7.43M,-10356781,
Bank of America,BAC,24.3,-0.02,-0.08,9.955,83.271,1.235,15.38,23.38,21.65,25.8,12.45,44.56M,-36805575,
BASF,BASFY,92.8,-1.09,-1.16,0.248,22.412,2.606,12.49,96.35,92.51,100.92,72.34,47K,-893.42,
Bayer,BAYRY,129.49,-5.56,-4.12,24.175,34.178,1.666,23.57,129.83,111.76,139.04,91.53,102K,25790.94,
Best Buy,BBY,57.77,0.51,0.89,35.388,87.124,2.354,15.49,54.53,46.24,61.95,29.79,1.02M,-3512368.5,
Baidu,BIDU,178.78,-0.84,-0.47,8.765,8.768,0,39.64,182.95,176.54,197.8,155.28,1.15M,-1567660.75,
BlackRock,BLK,423.23,-0.01,0,11.218,23.563,2.363,20.8,402.32,381.33,430.84,329.58,176K,-435245.5,
BMW,BMWYY,31.15,-0.41,-1.3,0.451,,2.95,,31.707,30.196,32.93,23.65,46K,-29814.48,
Bristol-Myers Squibb,BMY,56.02,0.2,0.36,-4.141,-24.106,2.785,19.45,54.66,54.69,77.12,46.01,1.75M,-6498982,
Berkshire Hathaway,BRK'B,169.36,0.06,0.04,3.915,16.928,0,18.51,166.52,161.35,177.86,140.95,1.36M,-2173156.5,
Anheuser-Busch,BUD,110.33,-0.33,-0.3,4.638,-15.963,3.531,153.24,115.61,112.51,136.08,98.28,699K,-878094.38,
Buffalo Wild Wings,BWLD,127.35,-1.55,-1.2,-17.487,-7.197,0,27.58,148.99,152.55,175.1,126.3,145K,-367674.28,
Citigroup,C,67.01,0.04,0.05,12.755,58.009,0.955,13.48,61.77,57.35,67.75,40.03,8.51M,-8482651,
Caterpillar,CAT,106.95,1.31,1.24,15.322,39.348,2.917,NA,103.12,94.79,108.18,73.46,1.71M,-3467929,
Chubb,CB,144.97,--,0,9.726,10.91,1.959,14.3,141.49,133.62,148.32,121.48,415K,-992846.25,
Cracker Barrel,CBRL,167.61,-0.34,-0.2,0.389,-2.059,4.951,20.27,164.01,156.56,175.04,130.15,66K,-182343.63,
Crown Castle International,CCI,100.03,--,0,15.282,-1.38,3.799,86.23,98.92,91.84,104.68,79.38,461K,-1816387.25,
